age,sex,political_stance,pro_reform,pro_protest,pro_arnona,post1_agree,post2_agree,post3_agree,post4_agree,men_post1,right_post1,old_post1,men_post2,right_post2,old_post2,men_post3,right_post3,old_post3,men_post4,right_post4,old_post4
25,1,2,0,1,0,2,7,7,4,0,1,1,1,0,1,0,0,0,1,1,0
24,0,2,0,1,2,2,6,5,5,0,1,1,1,0,1,0,0,0,1,1,0
25,0,4,0,1,0,2,5,6,3,0,1,1,1,0,1,0,0,0,1,1,0
51,0,3,0,1,2,1,6,4,3,0,1,1,1,0,1,0,0,0,1,1,0
23,0,4,0,0,0,2,6,4,4,0,1,1,1,0,1,0,0,0,1,1,0
27,0,3,0,1,0,1,6,7,4,0,1,1,1,0,1,0,0,0,1,1,0
24,0,1,0,1,2,1,7,4,4,0,1,1,1,0,1,0,0,0,1,1,0
26,0,2,0,1,0,2,7,6,6,0,1,1,1,0,1,0,0,0,1,1,0
53,1,5,0,0,2,7,1,2,3,0,1,1,1,0,1,0,0,0,1,1,0
35,1,4,0,0,2,5,2,3,4,0,1,1,1,0,1,0,0,0,1,1,0
30,0,4,0,0,1,4,4,2,6,0,1,1,1,0,1,0,0,0,1,1,0
43,0,3,0,0,0,6,2,7,2,0,1,1,1,0,1,0,0,0,1,1,0
34,0,4,0,0,0,6,2,7,3,0,1,1,1,0,1,0,0,0,1,1,0
63,1,4,0,0,1,2,4,4,5,0,1,1,1,0,1,0,0,0,1,1,0
46,1,2,0,1,1,1,7,3,5,0,1,1,1,0,1,0,0,0,1,1,0
26,0,2,0,1,1,1,7,2,5,0,1,1,1,0,1,0,0,0,1,1,0
25,0,4,1,0,2,5,2,2,4,0,1,1,1,0,1,0,0,0,1,1,0
38,0,3,0,1,1,2,7,3,5,0,1,1,1,0,1,0,0,0,1,1,0
